epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,508.059,0.42296,0.29797,0.81653,0.98407,0.89463,0.96247,0.77719,0.70035,0.39778,0.89118,6.27848e-05,6.27848e-05,6.27848e-05
86,513.996,0.40492,0.28756,0.81417,0.97453,0.92045,0.9627,0.77807,0.71483,0.41618,0.89172,5.54422e-05,5.54422e-05,5.54422e-05
87,519.874,0.40577,0.28982,0.81738,0.98431,0.90068,0.96555,0.77348,0.70518,0.40861,0.89259,4.85389e-05,4.85389e-05,4.85389e-05
88,525.824,0.41558,0.29027,0.81663,0.98842,0.89481,0.96897,0.77739,0.70497,0.41111,0.89153,4.20816e-05,4.20816e-05,4.20816e-05
89,531.729,0.40286,0.28848,0.81197,0.97006,0.91147,0.96602,0.77058,0.70773,0.42019,0.88984,3.60766e-05,3.60766e-05,3.60766e-05
90,537.688,0.39621,0.28384,0.81157,0.98882,0.89481,0.96842,0.76943,0.71722,0.40758,0.89241,3.05301e-05,3.05301e-05,3.05301e-05
91,544.384,0.37116,0.26979,0.80259,0.98803,0.89481,0.96608,0.76496,0.73355,0.41842,0.89514,2.54473e-05,2.54473e-05,2.54473e-05
92,550.421,0.35294,0.26206,0.7929,0.98776,0.89402,0.96347,0.76029,0.71047,0.41081,0.89008,2.08333e-05,2.08333e-05,2.08333e-05
93,556.428,0.34939,0.2581,0.79431,0.98802,0.89082,0.96136,0.7707,0.70262,0.41119,0.88932,1.66927e-05,1.66927e-05,1.66927e-05
94,562.452,0.34842,0.25565,0.78756,0.9891,0.89407,0.96007,0.77628,0.69874,0.40785,0.88896,1.30296e-05,1.30296e-05,1.30296e-05
95,568.326,0.34854,0.26242,0.79247,0.98893,0.89512,0.95857,0.77871,0.69563,0.40638,0.88791,9.84752e-06,9.84752e-06,9.84752e-06
96,574.298,0.34713,0.25533,0.79626,0.98956,0.89555,0.95919,0.76862,0.70669,0.41274,0.89016,7.14967e-06,7.14967e-06,7.14967e-06
97,580.189,0.35614,0.26017,0.79298,0.98996,0.89564,0.9599,0.76579,0.70659,0.41457,0.89039,4.93871e-06,4.93871e-06,4.93871e-06
98,586.132,0.34301,0.25116,0.79305,0.98988,0.89577,0.95986,0.76926,0.70288,0.41347,0.88922,3.2168e-06,3.2168e-06,3.2168e-06
99,592.019,0.3412,0.25306,0.79482,0.98984,0.89572,0.9594,0.77144,0.70314,0.41459,0.88917,1.98565e-06,1.98565e-06,1.98565e-06
100,598.013,0.34826,0.25141,0.79447,0.98972,0.89559,0.95971,0.77005,0.70506,0.41307,0.8897,1.24647e-06,1.24647e-06,1.24647e-06
